title,authors,publication_year,num_pages,average_rating
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,2005,864,3.89
Ruby Cookbook,Lucas Carlson/Leonard Richardson,2006,873,3.84
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,2005,240,4.12
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,2005,206,4.08
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,2007,514,3.48
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,2004,838,4.05
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,2002,960,4.05
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,2003,837,4.05
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,1965,80,3.85
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,2003,803,4.05
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,2004,752,4.05
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,2004,803,4.05
Dinner with Anna Karenina,Gloria Goldreich,2006,360,2.99
Tolstoy: Anna Karenina,Anthony Thorlby,1987,128,4.19
Untouchable,Mulk Raj Anand/E.M. Forster,1990,160,3.71
The Untouchable,John Banville,1998,367,3.95
The Untouchables,Eliot Ness/Oscar Fraley,1996,256,3.89
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,2005,320,3.82
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,1995,100,4.2
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,2000,224,3.65
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,2003,216,3.4
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1991,48,4.0
Wrinkles in Time,George Smoot/Keay Davidson,1994,360,4.01
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,2002,250,4.0
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,2002,32,3.6
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,1984,205,4.0
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,1994,367,4.12
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,2006,352,4.11
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,2005,320,3.94
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,2006,331,3.6
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,2004,244,3.9
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,2005,215,4.05
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,2004,191,3.94
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,1990,144,3.89
I am Charlotte Simmons,Tom Wolfe,2005,738,3.42
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,2001,48,3.91
The Puffin Book of Nonsense Verse,Quentin Blake,1996,287,4.02
Henry Miller on Writing,Henry Miller/Thomas H. Moore,1964,217,4.22
Quiet Days in Clichy,Henry Miller,1994,154,3.69
Tropic of Cancer,Henry Miller/Jiří Níl,1994,318,3.68
Tropic of Capricorn,Henry Miller,1994,348,3.78
Nexus (The Rosy Crucifixion  #3),Henry Miller,1994,316,4.1
Sexus (The Rosy Crucifixion  #1),Henry Miller,1994,506,3.98
The Air-Conditioned Nightmare,Henry Miller,1970,292,3.83
The Portrait of a Lady,Henry James/Patricia Crick,2003,797,3.78
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,2004,635,3.78
Writing,Marguerite Duras,1999,91,3.75
The War,Marguerite Duras/Barbara Bray,1994,192,3.85
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,1986,181,3.66
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1999,178,3.68
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,1998,464,4.21
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,1998,102,4.19
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,1995,216,3.98
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,2003,132,3.92
Sand and Foam,Kahlil Gibran/جبران خليل جبران,2011,100,4.08
Treasure Island,Robert Louis Stevenson,2001,311,3.83
Treasure Island,Robert Louis Stevenson/Scott McKowen,2004,213,3.83
Treasure Island,Robert Louis Stevenson,2005,245,3.83
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,2003,64,3.83
Treasure Island,Robert Louis Stevenson/Milo Winter,2002,272,3.83
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,2006,232,4.05
100 Years of Lynchings,Ralph Ginzburg,1996,270,4.61
Cien años de soledad,Gabriel García Márquez,1990,448,4.07
On Beyond Zebra!,Dr. Seuss,1955,64,4.04
The Wedding Clause,Debbie Raleigh,2005,256,3.6
The Zebra Wall,Kevin Henkes,2005,147,3.44
El perfume: Historia de un asesino,Patrick Süskind,2002,239,4.02
The Door Into Summer,Robert A. Heinlein,1997,304,4.01
Stranger in a Strange Land,Robert A. Heinlein,1991,528,3.92
To Sail Beyond the Sunset,Robert A. Heinlein,1988,434,3.87
Job: A Comedy of Justice,Robert A. Heinlein,1985,439,3.78
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,2006,256,3.97
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,1991,307,4.06
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,2005,298,3.93
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,2005,368,4.14
Douglas Adams's Starship Titanic,Terry Jones,1998,256,3.6
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,2003,336,3.93
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,2011,72,4.13
On Bullshit,Harry G. Frankfurt,2005,67,3.57
Another Bullshit Night in Suck City,Nick Flynn,2005,347,3.78
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,1993,317,4.14
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,1998,32,4.53
Underworld,Don DeLillo,1998,827,3.92
Libra,Don DeLillo,1991,480,3.99
Americana,Don DeLillo,1989,377,3.43
Running Dog,Don DeLillo,1989,256,3.43
Cosmopolis,Don DeLillo,2004,224,3.22
Great Jones Street,Don DeLillo,1994,272,3.48
The Names,Don DeLillo,1989,339,3.64
Against the Day,Thomas Pynchon,2006,1085,4.13
V.,Thomas Pynchon,2005,547,3.96
The Crying of Lot 49,Thomas Pynchon,1999,152,3.69
Gravity's Rainbow,Thomas Pynchon,2000,784,4.01
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,2004,773,4.07
Vineland,Thomas Pynchon,1997,385,3.69
Gravity's Rainbow,Thomas Pynchon,2006,776,4.01
Slow Learner: Early Stories,Thomas Pynchon,1985,193,3.5
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,1996,352,3.8
The Year of Magical Thinking,Joan Didion,2005,227,3.89
The White Album,Joan Didion,1990,222,4.17
A Book of Common Prayer,Joan Didion,1995,272,3.8
Where I Was From,Joan Didion,2004,240,3.86
Slouching Towards Bethlehem,Joan Didion,1990,238,4.21
Democracy,Joan Didion,1995,234,3.81
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,2006,1122,4.5
Play It As It Lays,Joan Didion/David Thomson,2005,231,3.87
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,2006,308,3.89
City of Glass (The New York Trilogy  #1),Paul Auster,1987,203,3.79
Ghosts (The New York Trilogy  #2),Paul Auster,1987,96,3.64
The Locked Room (The New York Trilogy  #3),Paul Auster,1986,179,3.89
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,1995,256,3.89
The Brooklyn Follies,Paul Auster,2006,306,3.84
Moon Palace,Paul Auster,1990,320,3.94
The Music of Chance,Paul Auster,1991,217,3.9
Travels in the Scriptorium,Paul Auster,2007,145,3.23
Leviathan,Paul Auster,1993,275,3.96
The Red Notebook: True Stories,Paul Auster,2002,104,3.77
Timbuktu / Leviathan / Moon Palace,Paul Auster,2002,1075,4.38
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2005,608,3.93
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,2006,211,3.4
Collapse of Complex Societies,Joseph A. Tainter,1990,262,4.15
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,2001,544,3.8
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,2002,272,3.91
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,1998,576,4.39
My Inventions,Nikola Tesla,2006,88,4.01
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,2001,542,3.78
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,1994,144,3.93
Tesla Papers,Nikola Tesla/David Hatcher Childress,2000,100,4.13
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,2006,249,3.77
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,2004,828,4.03
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,2000,112,3.95
Lord of the Flies,William Golding,2005,6,3.68
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,2006,397,4.11
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,1989,216,4.14
The Lovely Bones,Alice Sebold,2003,328,3.81
The Lovely Bones,Alice Sebold,2004,532,3.81
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,1990,224,3.8
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,2005,296,3.98
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,2006,456,3.8
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,2005,575,3.85
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2006,245,3.81
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,2004,272,3.73
Vice (V  #8),Jane Feather,1996,419,3.51
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,2006,540,3.77
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,2005,32,4.08
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,1990,408,3.72
Motorcycle Basics Techbook,John Harold Haynes,2002,222,3.85
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,2004,191,3.93
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,2003,304,4.11
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,1998,1392,4.11
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,2006,352,4.13
Atlas Shrugged,Ayn Rand/Leonard Peikoff,1999,1168,3.69
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,1963,224,3.68
The Fountainhead,Ayn Rand,2005,752,3.87
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,1964,176,3.51
Anthem,Ayn Rand,1999,105,3.63
We the Living,Ayn Rand/Leonard Peikoff,1996,464,3.91
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,1986,340,3.88
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,1997,681,3.96
Sailing for Dummies,J.J. Isler/Peter Isler,2006,416,3.95
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,2006,368,3.88
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2002,192,4.23
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,2004,286,3.62
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,2004,571,3.09
The Natural,Bernard Malamud/Kevin Baker,2003,231,3.63
Digging to America,Anne Tyler,2006,277,3.55
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,2004,826,3.77
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,2004,528,3.59
The Plot Against America,Philip Roth,2005,391,3.77
Naked Pictures of Famous People,Jon   Stewart,1999,164,3.59
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,2008,352,4.19
Crónica de una muerte anunciada,Gabriel García Márquez,2003,118,3.97
Cien años de soledad,Gabriel García Márquez,2006,496,4.07
Del amor y otros demonios,Gabriel García Márquez,2006,176,3.98
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,2004,533,3.99
Memoria de mis putas tristes,Gabriel García Márquez,2004,112,3.6
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,2004,425,4.07
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,2005,288,4.29
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,2006,363,3.75
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,2004,128,3.83
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,2006,480,4.03
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,2001,295,0.0
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,2006,287,3.88
Cryptonomicon,Neal Stephenson,2002,1139,4.25
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,2001,418,4.1
The Confusion (The Baroque Cycle  #2),Neal Stephenson,2005,815,4.26
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,2004,927,3.93
The Cobweb,Neal Stephenson/J. Frederick George,2005,448,3.61
The Big U,Neal Stephenson,2001,308,3.25
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,2000,499,4.19
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,2005,640,3.68
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,2006,464,4.2
Snow Crash,Neal Stephenson/Guy Abadia,2000,438,4.03
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,2005,450,4.16
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,2004,381,4.24
The Design of Everyday Things,Donald A. Norman,2002,240,4.17
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,2005,272,3.95
The Psychology of Everyday Things,Donald A. Norman,1988,257,4.17
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,2006,259,4.27
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,2006,192,3.86
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,1993,197,3.86
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,2006,192,4.57
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,2005,192,4.56
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,2006,192,4.57
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,2005,192,4.5
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,2005,200,4.55
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,1998,198,3.86
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,2005,192,4.52
Pompeii,Robert   Harris,2005,274,3.82
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,2002,360,3.6
Of Mice and Men,John Steinbeck,2002,103,3.87
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,2005,464,3.74
The Westing Game,Ellen Raskin,2004,182,4.02
The Egypt Game,Zilpha Keatley Snyder,2009,215,3.83
Memoirs of a Geisha,Arthur Golden,2005,503,4.11
Memoirs of a Geisha,Arthur Golden,2005,434,4.11
Memoirs of a Geisha,Arthur Golden,2005,497,4.11
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,2005,144,4.08
Memoirs of a Geisha,Arthur Golden,1998,497,4.11
Geisha of Gion,Mineko Iwasaki/Rande Brown,2003,334,3.93
Love As A Foreign Language #5,J. Torres/Eric  Kim,2006,58,3.44
Jungle Love,Margaret Johnson/Philip Prowse,2002,95,3.41
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,2005,0,4.7
Angels & Demons (Robert Langdon  #1),Dan Brown,2006,736,3.89
Ángeles y demonios (Robert Langdon  #1),Dan Brown,2005,508,3.89
Angeles & Demonios,Dan Brown/Raúl Amundaray,2005,18,3.89
The Da Vinci Code (Robert Langdon  #2),Dan Brown,2006,489,3.84
The Da Vinci Code,Dan Brown,2006,467,3.84
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,2005,744,3.84
Deception Point,Dan Brown,2006,736,3.71
Deception Point,Dan Brown,2004,585,3.71
Deception Point,Dan Brown,2005,448,3.71
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,2005,383,4.04
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,1998,258,4.03
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,2005,320,4.18
Think and Grow Rich,Napoleon Hill,2004,368,4.18
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,2006,256,3.58
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,2005,288,3.95
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,2004,384,3.66
The Richest Man in Babylon,George S. Clason,2008,194,4.26
The Richest Man in Babylon,George S. Clason,2005,4,4.26
Shibumi,Trevanian/Gisela Stege,2005,480,4.21
1776,David McCullough,2006,386,4.07
1776,Peter  Stone/Sherman Edwards,1976,192,4.22
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,2000,284,3.62
The Good Earth (House of Earth  #1),Pearl S. Buck,2009,418,3.98
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,2005,5,3.93
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2005,399,3.74
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,2002,384,3.74
Snow Flower and the Secret Fan,Lisa See,2006,269,4.07
The Broker,John Grisham,2006,422,3.78
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,1975,1344,4.51
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,2006,320,3.75
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,1999,201,3.74
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,2005,288,3.65
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,2003,405,3.95
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,2005,245,4.13
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,2003,432,4.07
